ID,EN_NAME,GR_NAME,LINES,LAT,LONG
S303R,Λαυράνου,Λαυράνου,"A10, A9, B14, B15, B16, B19",39.609835192987,19.87838022363
S302R,Gefyraki,Γεφυράκι,"A10, A9, B14, B15, B16, B19",39.611211249582,19.882398055389
S301R,Alepou,Αλεπού,"A10, A9, B14, B15, B16, B19",39.612745702415,19.885985238616
S300R,Gerogiannis,Γερογιάννης,"A10, A9, B14, B15, B16, B19",39.613474632604,19.889108314226
S299R,Mamaloi Alepou,Μάμαλοι Αλεπούς,"A10, A9, B14, B15, B16, B19",39.615959837093,19.895832549479
S298R,Chavai (Folies Apartments),Χαβάη (Folies Apartments),"A10, A9, B14, B15, B16, B19",39.616839327777,19.897620338145
S297R,Kato Koulines,Κάτω Κουλίνες,"A10, A9, B14, B15, B16, B19",39.615339179325,19.903869810302
S161,Valaneio,Βαλανειό,A11,39.734678609163,19.756750995131
S231,Agrafoi Junction,Διασταύρωση Αγραφών,A11,39.7673533409,19.749209679714
S232,Agrafoi,Αγραφοί,A11,39.766431517883,19.742115122436
S231R,Agrafoi Junction,Διασταύρωση Αγραφών,A11,39.767239359503,19.749090202919
S233,Kavalouri,Καβαλούρι,A11,39.775862373981,19.752970174085
S234,Karousades Iroon,Καρουσάδες Ηρώων,A11,39.779476723844,19.744568417585
S234R,Karousades Iroon,Καρουσάδες Ηρώων,A11,39.77938943895,19.744592361143
S236,Karousades Post Office,Καρουσάδες ταχυδρομείο,A11,39.780891831441,19.744467210963
S237,Karousades Center,Καρουσάδες κέντρο,A11,39.781693895166,19.745024549369
S238,Karousades Taverna,Καρουσάδες ταβέρνα,A11,39.78341034219,19.745502376272
S229,Drosato,Δροσάτο,A11,39.733477545256,19.736840397298
S232R,Agrafoi,Αγραφοί,A11,39.766339754637,19.742045684923
S233R,Kavalouri,Καβαλούρι,A11,39.77580945722,19.752710833575
S235R,Antipernoi,Αντιπερνοί,A11,39.776352472219,19.741315027323
S236R,Karousades Post Office,Καρουσάδες ταχυδρομείο,A11,39.781043539532,19.74451037351
S237R,Karousades Center,Καρουσάδες κέντρο,A11,39.78172447629,19.744883764712
S238R,Karousades Taverna,Καρουσάδες ταβέρνα,A11,39.783523209567,19.74546144609
S230R,Provatous,Προβατούς,A11,39.758306213833,19.743044572681
S229R,Drosato,Δροσάτο,A11,39.733488890044,19.736871242701
S104,Imerolia,Ημερολιά,"A12, A19",39.788110008895,19.909569695783
S105,Imerolia School,Ημερολιά σχολείο,"A12, A19",39.788333298043,19.909356364105
S533,Apraos,Απραός,"A12, A19",39.7963229,19.8886351
S106,Kaminaki,Καμινάκι,"A12, A19",39.798455754999,19.883263792833
S107,Agiou Ilia Junction,Διασταύρωση Αγίου Ηλία,"A12, A19",39.804373526995,19.871484939313
S108,Agios Ilias (Center),Άγιος Ηλίας (κέντρο),"A12, A19",39.8017762262,19.870380003943
S109,Agios Ilias (Church),Άγιος Ηλίας (εκκλησία),"A12, A19",39.799265799003,19.873471801078
S107R,Agiou Ilia Junction,Διασταύρωση Αγίου Ηλία,"A12, A19",39.804280654919,19.871484314623
S106R,Kaminaki,Καμινάκι,"A12, A19",39.798277587276,19.883280621479
S533R,Apraos,Απραός,"A12, A19",39.796261840969,19.888684580103
S105R,Imerolia School,Ημερολιά σχολείο,"A12, A19",39.78826260296,19.909175297242
S104R,Imerolia,Ημερολιά,"A12, A19",39.788036944713,19.909456710156
S041,New Settlement Agios Markos,Νέος οικισμός Αγίου Μάρκου,"A13, A14, A15, A16",39.705735322275,19.833152445683
S043,Agios Markos 1,Άγιος Μάρκος 1,"A13, A16",39.70851584987,19.839050446939
S044,Agios Markos 2,Άγιος Μάρκος 2,A13,39.70991343362,19.829451416386
S045,Agios Markos 3,Άγιος Μάρκος 3,"A13, A16",39.71048043953,19.826085105942
S046,Agios Markos 4,Άγιος Μάρκος 4,A13,39.709380875804,19.823336129858
S047,Ano Korakiana 1,Άνω Κορακιάνα 1,A13,39.70800895032,19.802002145014
S048,Ano Korakiana 2,Άνω Κορακιάνα 2,A13,39.706554099953,19.794862644542
S049,Ano Korakiana 3,Άνω Κορακιάνα 3,A13,39.705238945873,19.792938276503
S050,Ano Korakiana 4,Άνω Κορακιάνα 4,A13,39.704699409435,19.791373352577
S050R,Ano Korakiana 4,Άνω Κορακιάνα 4,"A13, A16",39.704672583282,19.791396151353
S049R,Ano Korakiana 3,Άνω Κορακιάνα 3,"A13, A16",39.705213151697,19.792957722517
S048R,Ano Korakiana 2,Άνω Κορακιάνα 2,"A13, A16",39.706531401511,19.794876055587
S047R,Ano Korakiana 1,Άνω Κορακιάνα 1,"A13, A16",39.707990851878,19.802004237046
S046R,Agios Markos 4,Άγιος Μάρκος 4,"A13, A16",39.709359209997,19.823350211455
S044R,Agios Markos 2,Άγιος Μάρκος 2,"A13, A16",39.709895625692,19.829423638126
S054,Spartylas,Σπαρτύλας,"A14, A15",39.72102741384,19.841295765392
S055,Strinila Junction,Διασταύρωση Στρινίλας,"A14, A15",39.727383468887,19.830816403458
S064,Strinylas,Στρινύλας,A14,39.743626501953,19.837095539268
S065,Petaleia,Πετάλεια,A14,39.750188315401,19.840080566899
S066,Eriva,Ερίβα,A14,39.757665471047,19.834375549601
S067,Lauki,Λαυκί,A14,39.774069431586,19.846116909311
S055R,Strinila Junction,Διασταύρωση Στρινίλας,A14,39.727368228474,19.83072320184
S057,Zgourades,Σγουράδες,"A14, A15",39.732124688583,19.822299691821
S062,Zygos,Ζυγός,"A14, A15",39.726558767063,19.801781186941
S063,Sokraki,Σωκράκι,A14,39.717969253894,19.795209170541
S061,Agios Panteleimonas,Άγιος Παντελεήμων,A15,39.773549131936,19.821906630447
S573,Fourni,Φουρνί,A15,39.766694600842,19.82350366318
S059,Episkepsi 1,Επίσκεψη 1,A15,39.758885924833,19.816494831937
S058,Omali,Ομαλή,A15,39.744158133825,19.817812528661
S571,Doukadon Junction (to Doukades),Διασταύρωση Δουκάδων (προς Δουκάδες),A16,39.700610017056,19.763278741214
S129,Doukades,Δουκάδες,A16,39.689843821348,19.740370193633
S128,Gardelades,Γαρδελάδες,A16,39.680841069531,19.745124428022
S134,Lakones,Λάκωνες,A16,39.681337045983,19.707636614383
S135,Makrades Junction,Διασταύρωση Μακράδων,A16,39.687443447333,19.689983577372
S136,Krini,Κρήνη,A16,39.684302494463,19.686279515771
S137,Makrades,Μακράδες,A16,39.688484322927,19.688659528699
S138,Vistonas,Βίστωνας,A16,39.69077436662,19.696584873529
S139,Aleimmatades Junction,Διασταύρωση Αλειμματάδες,A16,39.697578292315,19.732212962378
S140,Aleimmatades,Αλειμματάδες,A16,39.69882049903,19.728348279195
S134R,Lakones,Λάκωνες,A16,39.681268614542,19.707656359672
S139R,Aleimmatades Junction,Διασταύρωση Αλειμματάδες,A16,39.69793668053,19.732115499479
S162,Kyprianades,Κυπριανάδες,A17,39.740917023112,19.766309120474
