ID,EN_NAME,GR_NAME,LAT,LONG
248,VILLA KALAVRETZOU,ΒΙΛΛΑ ΚΑΛΑΒΡΕΤΖΟΥ,39.605709,19.921257
249,DIMISIANOU,ΔΗΜΗΣΙΑΝΟΥ,39.604059,19.920495
250,BOIKOU,ΜΠΟΙΚΟΥ,39.600950,19.919929
251,VRISOULA,ΒΡΥΣΟΥΛΑ,39.599556,19.920186
252,SCHOOL OF KANONI,ΣΚΟΛΕΙΟ ΚΑΝΟΝΙ,39.597701,19.918875
253,HOTEL HELLINIS,ΞΕΝΟΔΟΧΕΙΟ HELLINIS,39.594599,19.916555
254,SAN ROCCO SQUARE LINE 2A,ΠΛΑΤΕΙΑ ΣΑΡΟΚΟΥ ΓΡΑΜΜΗ 2Α,39.621756,19.918913
255,2ND HIGH SCHOOL,2ο ΓΥΜΝΑΣΙΟ,39.620548,19.922730
256,SPIANADA SQUARE - LISTON,ΑΝΩ ΠΛΑΤΕΙΑ - ΛΙΣΤΟΝ,39.623624,19.924393
257,2ND HIGH SCHOOL,2ο ΓΥΜΝΑΣΙΟ,39.620680,19.922956
261,KASSOPITRA CHURCH,ΜΟΝΗ ΚΑΣΣΩΠΙΤΡΑΣ,39.595596,19.917401
262,PAMFILI TO TOWN,ΠΑΜΦΙΛΗ ΠΡΟΣ ΠΟΛΗ,39.602340,19.922237
264,PORT TICKET OFFICE TO TOWN,ΕΚΔΟΤΗΡΙΑ ΛΙΜΑΝΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.627260,19.904840
265,CRUISE SHIPS TO TOWN,ΚΡΟΥΑΖΙΕΡΟΠΛΟΙΑ ΠΡΟΣ ΠΟΛΗ,39.627792,19.901279
401,"SAN ROCCO SQUARE LINE 4, 7","ΠΛΑΤΕΙΑ ΣΑΡΟΚΟΥ ΓΡΑΜΜΗ 4, 7",39.621545,19.918450
402,GKIKA,ΓΚΙΚΑ,39.621614,19.914353
403,PLATITERA,ΠΛΑΤΥΤΕΡΑ,39.622293,19.910617
404,GENERAL CLINIC,ΠΟΛΥΚΛΙΝΙΚΗ,39.621493,19.907092
405,CAPUCCINI,ΚΑΠΟΥΚΙΝΟΙ,39.621415,19.904174
406,KAKAROUGKA,ΚΑΚΑΡΟΥΓΚΑ,39.622920,19.900099
407,SOLARI,ΣΟΛΑΡΙ,39.624094,19.895860
408,POTAMOS JUNCTION,ΔΙΑΣΤΑΥΡΩΣΗ ΠΟΤΑΜΟΥ,39.624604,19.890962
412,PSICHREMIA,ΨΥΧΡΑΙΜΙΑ,39.623508,19.878439
413,POTAMOS,ΠΟΤΑΜΟΣ,39.624793,19.877711
414,POLICE STATION POTAMOS,ΑΣΤΥΝΟΜΙΑ ΠΟΤΑΜΟΥ,39.623820,19.877214
415,ST. VARVARIS,ΑΓΙΟΣ ΒΑΡΒΑΡΗΣ,39.624196,19.875582
416,OLD TERMINAL POTAMOS,ΠΑΛΙΟ ΤΕΡΜΑ ΠΟΤΑΜΟΥ,39.624428,19.873846
417,LELA,ΛΕΛΑ,39.626509,19.870717
418,PARASTATHI,ΠΑΡΑΣΤΑΘΗ,39.628032,19.868329
419,KAMINI,ΚΑΜΙΝΙ,39.629324,19.866615
420,RANKIOU,ΡΑΝΚΙΟΥ,39.630735,19.866110
